"Txn Hash","Blockno","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x947c605eeaa3f9a6df4358c491de8d0c3a1d0070d2b740a5d54b6214ccc8ac5f","16730074",1677628835,2023-03-01 00:00:35,Sell,9807.00133879534, REN, 0.668941198696372, ETH,0.00006821,ETH per REN,Uniswap V3
"0x4fb709225d818908481d1b742cac5871c61f9860b529c70b6e1186e3a9812bf0","16730074",1677628835,2023-03-01 00:00:35,Buy,0.856313838094759, ETH, 12463.7167766048, REN,0.00006870,ETH per REN,Uniswap V3
"0x4fb709225d818908481d1b742cac5871c61f9860b529c70b6e1186e3a9812bf0","16730074",1677628835,2023-03-01 00:00:35,Buy,1386.712591, USDC, 0.864055619495324, ETH,1,604.88811103,USDC per ETH,Uniswap V3
"0xaca0e67e21bfbd5ad87469150c76e5ba3c5ae25add9fcd8007ce660561a5d622","16730074",1677628835,2023-03-01 00:00:35,Buy,55.489567, USDT, 113.0966588, AGIX,0.49063843,USDT per AGIX,Uniswap V2
"0x14d1f4098711bc5f132106008d7fd30b5e1289bec971817926dca77e6fdd11be","16730074",1677628835,2023-03-01 00:00:35,Buy,198.25, USDT, 0.122935898594921, ETH,1,612.62903892,USDT per ETH,Uniswap V2
"0x14d1f4098711bc5f132106008d7fd30b5e1289bec971817926dca77e6fdd11be","16730074",1677628835,2023-03-01 00:00:35,Buy,0.122935898594921, ETH, 34526588.6637894, $SHARBI,0.00000000,ETH per $SHARBI,Uniswap V2
"0x9a1341c2298588fe6df67bcf66b926bc60bef8aaf106c0e4da6a3a3d9ff66e89","16730074",1677628835,2023-03-01 00:00:35,Buy,1.12892365397201, ETH, 785.189305263752, GTC,0.00143777,ETH per GTC,Uniswap V3
"0xe52b1be16220ae1000f977d52953b52907582582d13e8f715f28752d1cecd9e4","16730074",1677628835,2023-03-01 00:00:35,Swap,5000, USDT, 5000.098963, USDC,0.99998021,USDT per USDC,Uniswap V3
"0xf3c36cee72de43cd7ab4a2c3c157c1da8cb62497cef0df35c034fbb236c14e03","16730074",1677628835,2023-03-01 00:00:35,Sell,34443152.8445251, ZRO, 0.175985651652712, ETH,0.00000001,ETH per ZRO,Uniswap V2
"0xf3c36cee72de43cd7ab4a2c3c157c1da8cb62497cef0df35c034fbb236c14e03","16730074",1677628835,2023-03-01 00:00:35,Sell,186643205.158856, ZRO, 0.935290806046252, ETH,0.00000001,ETH per ZRO,Uniswap V2
"0xf68c7261e5938267c207da708077672ccb0238000fa5b0f1a6fee1221b40aaaa","16730074",1677628835,2023-03-01 00:00:35,Buy,10, ETH, 20718.818823047, BLUR,0.00048265,ETH per BLUR,Uniswap V3
"0x4f3976fa5e25078a923364728163b474674a3e27df5b411dc67c09a316dce3fa","16730074",1677628835,2023-03-01 00:00:35,Sell,1314596416.51911, FLOK, 0.0182658497624685, ETH,0.00000000,ETH per FLOK,Uniswap V2
"0x4f3976fa5e25078a923364728163b474674a3e27df5b411dc67c09a316dce3fa","16730074",1677628835,2023-03-01 00:00:35,Sell,2992579519.25381, FLOK, 0.0409192761840283, ETH,0.00000000,ETH per FLOK,Uniswap V2
"0x91d7fd862eda7c5efec469b4f109f9638384a65cbc043a03febc6a7ea06fd2b3","16730074",1677628835,2023-03-01 00:00:35,Sell,141975811.406232, KENNEL, 0.511891195606295, ETH,0.00000000,ETH per KENNEL,Uniswap V2
"0x6522c733b73d30bc0a229d40e13030452083b4087fd8a40236905a6b24455fe9","16730074",1677628835,2023-03-01 00:00:35,Buy,3000, USDC, 1.86001749467838, ETH,1,612.88805540,USDC per ETH,Uniswap V2
"0x6522c733b73d30bc0a229d40e13030452083b4087fd8a40236905a6b24455fe9","16730074",1677628835,2023-03-01 00:00:35,Buy,1.86001749467838, ETH, 704793187.399696, EGGS,0.00000000,ETH per EGGS,Uniswap V2
"0x72c70bd1a281b3a59da63e1f2c4d8740e7110309d41950881d14bbafc9d93cc2","16730074",1677628835,2023-03-01 00:00:35,Sell,25939, GRT, 2.46100453150305, ETH,0.00009488,ETH per GRT,Uniswap V3
"0x72c70bd1a281b3a59da63e1f2c4d8740e7110309d41950881d14bbafc9d93cc2","16730074",1677628835,2023-03-01 00:00:35,Sell,2.46100453150305, ETH, 3946.717983, USDC,1,603.70203812,USDC per ETH,Uniswap V3
"0xc583bae2de07ac785cd35166c8dfd63e16fad6d21fe32bc476b02da70ad624fc","16730075",1677628847,2023-03-01 00:00:47,Buy,165698.955868, USDC, 103.204555204889, ETH,1,605.53916965,USDC per ETH,Uniswap V3
"0x8c57f27ead93045c651a09c6fbce083010daa52dda56d39fcd473f360cefa018","16730075",1677628847,2023-03-01 00:00:47,Buy,6.22605435567845, ETH, 20157.58725847, AGIX,0.00030887,ETH per AGIX,Uniswap V3
"0x38a4a7ec11b26329bb96a4cc221a24c999a55f2da2621d9f58d617c536337632","16730075",1677628847,2023-03-01 00:00:47,Buy,49062.721943, USDC, 30.559032399534, ETH,1,605.50639502,USDC per ETH,Uniswap V3
"0x5c8d2d7407545dc26bc57972190c4f5bc91d9cb8313fd42f0a0950251f7b5c74","16730075",1677628847,2023-03-01 00:00:47,Buy,1000, USDT, 2023.48449, AGIX,0.49419702,USDT per AGIX,Uniswap V2
"0x3705a38156b25ab36b36387c831213796ecf6b1ace36d853bcec5700fb1a4a98","16730075",1677628847,2023-03-01 00:00:47,Sell,1061924221.91438, EGGS, 2.7835796107289, ETH,0.00000000,ETH per EGGS,Uniswap V2
"0x91932e82a67cb8fa343016bc472b7b5c5888895aab93f56a898ae76443314446","16730075",1677628847,2023-03-01 00:00:47,Buy,0.801667105565308, ETH, 2588.02148434, AGIX,0.00030976,ETH per AGIX,Uniswap V2
"0xb1c6a57d944e5184c5ee61309af68e07a26a4f60a2cf32c993a80f5f5b5814b5","16730075",1677628847,2023-03-01 00:00:47,Sell,16491.1368538988, REN, 1.12422916609788, ETH,0.00006817,ETH per REN,Uniswap V3
"0x841fb3bce92561370456efe8f795eb50376911814d78b7778142e4a7ab64d6cb","16730075",1677628847,2023-03-01 00:00:47,Sell,2.6253E-14, $SHIBP, 2E-18, ETH,0.00007618,ETH per $SHIBP,Uniswap V2
"0xff4d875a94cb598b0871f311af5d9683396d2133cf8199ea756a64e7de3cf359","16730075",1677628847,2023-03-01 00:00:47,Buy,0.1, ETH, 2387342.10842971, PRM,0.00000004,ETH per PRM,Uniswap V2
"0x836ef2193bc040b1daca466940a84e8eed409d01e90195fcb80999daf5860cb2","16730075",1677628847,2023-03-01 00:00:47,Buy,0.0154038673777958, ETH, 8330.12257381692, GMM,0.00000185,ETH per GMM,Uniswap V3
"0x33888bba876546708a8c58899ac0cb638780c7fd4829643758e74f20858d0d1e","16730075",1677628847,2023-03-01 00:00:47,Sell,3796.04449817979, REN, 0.259006854221674, ETH,0.00006823,ETH per REN,SushiSwap
"0x3f93fedbc2087671ab45d5fe870f4b012ffc196c93e98362d3ae180d77b508ec","16730075",1677628847,2023-03-01 00:00:47,Buy,300, USDC, 0.186825381675483, ETH,1,605.77753038,USDC per ETH,Uniswap V3
"0x3f93fedbc2087671ab45d5fe870f4b012ffc196c93e98362d3ae180d77b508ec","16730075",1677628847,2023-03-01 00:00:47,Buy,0.186825381675483, ETH, 46.849385912, XRT,0.00398779,ETH per XRT,Uniswap V3
"0xe8421b6a9c83f987fbe0ae0056bf61372dacbae6a458ee9e133f855c06ca8622","16730075",1677628847,2023-03-01 00:00:47,Sell,865351.037145091, SLEUTH, 0.0108237169388456, ETH,0.00000001,ETH per SLEUTH,Uniswap V2
"0xe8421b6a9c83f987fbe0ae0056bf61372dacbae6a458ee9e133f855c06ca8622","16730075",1677628847,2023-03-01 00:00:47,Sell,8592750, SLEUTH, 0.103407651752467, ETH,0.00000001,ETH per SLEUTH,Uniswap V2
"0xbd039da314435b64797616e2dded06767875f814611652f271b5e88f65048dba","16730075",1677628847,2023-03-01 00:00:47,Sell,167.341166493234, LOOKS, 0.019577738839022, ETH,0.00011699,ETH per LOOKS,Uniswap V3
"0x3f64c2bd285e30c572de559e9778c2b9c72c9ff2fe063dbf9242a55ec5ba7fc7","16730075",1677628847,2023-03-01 00:00:47,Sell,174282.78041123, HEX, 11617.407244, USDC,0.06665838,USDC per HEX,Uniswap V3
"0x3f64c2bd285e30c572de559e9778c2b9c72c9ff2fe063dbf9242a55ec5ba7fc7","16730075",1677628847,2023-03-01 00:00:47,Sell,240676.22056789, HEX, 16039.099418, USDC,0.06664181,USDC per HEX,Uniswap V3
"0x3f64c2bd285e30c572de559e9778c2b9c72c9ff2fe063dbf9242a55ec5ba7fc7","16730075",1677628847,2023-03-01 00:00:47,Buy,27656.506662, USDC, 17.2226941549139, ETH,1,605.81767366,USDC per ETH,Uniswap V3
"0x3f64c2bd285e30c572de559e9778c2b9c72c9ff2fe063dbf9242a55ec5ba7fc7","16730075",1677628847,2023-03-01 00:00:47,Sell,24897.54005874, HEX, 1.03443172453382, ETH,0.00004155,ETH per HEX,Uniswap V2
"0x3f64c2bd285e30c572de559e9778c2b9c72c9ff2fe063dbf9242a55ec5ba7fc7","16730075",1677628847,2023-03-01 00:00:47,Sell,286321.7106756, HEX, 11.891813260297, ETH,0.00004153,ETH per HEX,Uniswap V3
"0x3f64c2bd285e30c572de559e9778c2b9c72c9ff2fe063dbf9242a55ec5ba7fc7","16730075",1677628847,2023-03-01 00:00:47,Sell,311219.25073435, HEX, 12.9267325018688, ETH,0.00004154,ETH per HEX,Uniswap V3
"0x840bfec1b012e8a8480172e02b4dd091bf2797ed3bb6c539f87a8a2bbf8d150d","16730075",1677628847,2023-03-01 00:00:47,Buy,55.452756, USDT, 0.0343861415178119, ETH,1,612.64839707,USDT per ETH,Uniswap V2
"0xf7547c94c15270fa4d028fc0a83e2a19f69271fde378769bc9b9640d77175e07","16730076",1677628859,2023-03-01 00:00:59,Buy,6.22508515103022, ETH, 20089.59987663, AGIX,0.00030987,ETH per AGIX,Uniswap V3
"0xd495d26711c84f67d13041ad4861b7ceea81cdd6cbecffed9e9183257c6c10f1","16730076",1677628859,2023-03-01 00:00:59,Sell,16564790.2286577, ERC-20 TOKEN*, 0.732739667087778, ETH,0.00000004,ETH per ERC-20 TOKEN*,Uniswap V2
"0xd495d26711c84f67d13041ad4861b7ceea81cdd6cbecffed9e9183257c6c10f1","16730076",1677628859,2023-03-01 00:00:59,Sell,0.732739667087778, ETH, 1174.79451, USDC,1,603.29044921,USDC per ETH,Uniswap V2
"0xcae4d9b5085e39091687c996854199ec667c1f058b8a3a84a4ce5f4fe001bb19","16730076",1677628859,2023-03-01 00:00:59,Swap,436.708259729223, FXS, 5009.20509173574, FRAX,0.08718115,FXS per FRAX,Unknown
"0xf901e85e4b6b7f3bf7ebd007b908da01dd601571c356c6b395cf50b599106f69","16730076",1677628859,2023-03-01 00:00:59,Buy,0.07, ETH, 1537535.56119061, PRM,0.00000005,ETH per PRM,Uniswap V2
"0x7b704eb01380a56d39c12da34acddda04a48c5f6325812a00f6422700f193996","16730076",1677628859,2023-03-01 00:00:59,Swap,3291.25690504617, FXS, 37687.0427316507, FRAX,0.08733126,FXS per FRAX,Unknown
"0xb430e023ae086a544d74886ea0018faa938860ae702f417d5bcab5d83804cdc0","16730076",1677628859,2023-03-01 00:00:59,Swap,1921.75635728317, FXS, 21952.4403695358, FRAX,0.08754181,FXS per FRAX,Unknown
"0xdc49299fa4ce576495bdb0018407f0a11412694db0d27cab4dc59408b303237d","16730076",1677628859,2023-03-01 00:00:59,Buy,0.26, ETH, 5866825.30008565, BasedAI,0.00000004,ETH per BasedAI,Uniswap V2
"0x04c72588fb7e7b5b962762eec1226d5e0a38379f3f3c4955a9238fe4e0de2748","16730076",1677628859,2023-03-01 00:00:59,Sell,2876.3927665692, BONE, 2.97865861792668, ETH,0.00103555,ETH per BONE,Uniswap V3
"0x04c72588fb7e7b5b962762eec1226d5e0a38379f3f3c4955a9238fe4e0de2748","16730076",1677628859,2023-03-01 00:00:59,Sell,3179.17095252386, BONE, 3.29350104334188, ETH,0.00103596,ETH per BONE,Unknown
"0x848d67889ee505da6a2d5966b02eac82653bf49f548dd3d79d6dab5bab4940d3","16730076",1677628859,2023-03-01 00:00:59,Sell,275.3073, BAI, 0.00420660071979133, ETH,0.00001528,ETH per BAI,Uniswap V2
"0x848d67889ee505da6a2d5966b02eac82653bf49f548dd3d79d6dab5bab4940d3","16730076",1677628859,2023-03-01 00:00:59,Sell,52269.093837357, BAI, 0.760598874309429, ETH,0.00001455,ETH per BAI,Uniswap V2
"0xba7aa42a7d1d17b70c32f52033287f0ea3c96dc7c5ed2eaefc12d031344699ee","16730076",1677628859,2023-03-01 00:00:59,Sell,7345.92424082953, ZRX, 1.16167737702095, ETH,0.00015814,ETH per ZRX,Uniswap V3
"0xa6d4bddef53a16a299d9c32d472f84af465d51141a642c73f11425f2c6b5625c","16730076",1677628859,2023-03-01 00:00:59,Sell,30000, VERSE, 0.0583080431185037, ETH,0.00000194,ETH per VERSE,Unknown
"0xe946d8f127e718c54b7df15b2718252f064e5b53c7d468bba0a3d64a25d711cb","16730076",1677628859,2023-03-01 00:00:59,Buy,3000, USDC, 1.85986672514816, ETH,1,613.01880368,USDC per ETH,Uniswap V2
"0xe946d8f127e718c54b7df15b2718252f064e5b53c7d468bba0a3d64a25d711cb","16730076",1677628859,2023-03-01 00:00:59,Buy,1.85986672514816, ETH, 705833302.003005, EGGS,0.00000000,ETH per EGGS,Uniswap V2
"0x27920d8e78b04404dd6fc695a557362474666c1aa2d4428ef30278d0a2ab6cd2","16730076",1677628859,2023-03-01 00:00:59,Buy,0.134608961651344, ETH, 51000000, EGGS,0.00000000,ETH per EGGS,Uniswap V2
"0xf937ed412657782994b1ac249f3dedfae2579523ceac0f90839e463032b4b4e0","16730076",1677628859,2023-03-01 00:00:59,Buy,0.305, ETH, 13099.895642634, DNS,0.00002328,ETH per DNS,Uniswap V2
